snack	小吃
soak	浸泡
soar	升空；飞涨
sociable	善于交际的
socialise	社交
sociology	社会学
soda	苏打水
solemn	庄严的
soluble	可溶的
solution	解决办法
solve	解决
solvent	不负债的；溶剂
sophisticated	复杂的
sophistication	复杂
sore	疼痛的
spacecraft	航天器
span	跨度
spark	火花
sparkle	闪烁
spatial	空间的
species	物种
specimen	标本
speculate	推测
spill	漏；泄露
spite	恶意（用作in spite of，尽管）
splash	溅
splendour	辉煌
spoil	溺爱
spontaneous	自发的
sportsman	运动员
spouse	配偶
spur	激励
stack	堆
staircase	楼梯
stake	赌注，风险
stale	陈的；陈旧的
standpoint	立场；角度
startle	使惊吓
stationary	静止的
steamer	汽船；蒸笼
steer	引导
stem	干；题干
stiff	僵硬的
stimulant	刺激物；兴奋剂
stimulate	刺激
stimulus	刺激
sting	毒刺
stir	搅拌
stock	股票
stool	凳子
storey	楼层
stormy	猛烈的
strain	拉紧
strap	表带
stretch	伸展
stride	大步行走
strip	脱掉；剥
stripe	条纹
strive	力争
stroke	中风
stuff	东西
stuffy	不通气的，闷的
submissive	顺从的
substance	物质
subtract	减
suburb	郊区
subway	地铁
summit	首脑会议
sunrise	日出
sunset	日落
superficial	肤浅的
supervise	监督
supposition	猜测
supremacy	至高无上
surf	冲浪
surge	涌；猛升
surgery	手术
surgical	外科的
surname	姓氏
surrender	投降
suspense	悬念
suspicion	怀疑
suspicious	可疑的
sway	摇摆
swipe	刷（卡）
sympathise	同情
tackle	处理
tag	标签
tame	驯服
tangible	有形的
technician	技术员
tedious	单调乏味的
teen	青少年
telecommunication	电信
teller	出纳
temper	脾气
tender	脆弱的；心肠软的
terrific	棒的
territory	领土
textile	纺织
Thanksgiving	感恩节
therapy	治疗
thermometer	温度计
threat	威胁
thrive	繁荣
thrust	推
thumb	拇指
tide	潮
timber	木材
toe	脚趾
token	标志；代币
toll	过路费
tone	语气
torch	火炬
torture	折磨
toss	抛，掷
touchy	敏感的
township	镇
trademark	商标
traffic	贩卖
tragedy	悲剧
tragic	悲剧的
trail	足迹
trailer	拖车；预告片
transact	办理
transcript	成绩单；转写
transition	过渡
transparency	透明
transplant	移植
trash	垃圾
tray	托盘
treaty	条约
tremendous	巨大的
trifle	小事
triple	三倍的
triumph	胜利
triumphant	胜利的
trolley	购物车
trustee	受信托人
tuition	学费
tumour	肿瘤
tunnel	隧道
tutorial	教程
underestimate	低估
undergraduate	本科的；本科生
undermine	破坏
undo	撤消
upgrade	升级
upload	上传
upright	正直的
up-to-date	最新的
usage	使用
utility	有用；水电
utmost	最大的
utter	说出
vacancy	空缺
vacuum	真空
van	面包车
vanish	消失
vanity	虚荣
vapour	水汽
vegetarian	素食者
veil	面纱
vendor	小贩
venture	企业
verb	动词
verbal	口头的
verify	核实
versus	对
vessel	容器
veteran	退伍军人
veto	否决权
viewpoint	观点
vigorous	精力充沛的
vigour	精力
vitamin	维生素
vocation	职业
volt	伏特
voluminous	大量的
vulnerable	易受伤害的
wagon	马车
ware	制品
warfare	战争
warrior	战士
wary	谨慎的
watchful	警惕的
waterproof	防水的
watertight	防水的
wavy	波浪的
weapon	武器
weaponry	〈总称〉武器
weave	编织
weird	怪异的
well-being	福祉
well-known	知名的
well-off	小康的
whatsoever	无论什么
whip	鞭子；鞭打
whiskey	威士忌酒
wide	宽的
wilderness	荒野
willpower	意志
wireless	无线的
wit	机智
withstand	承受
workforce	劳动人口
workout	锻炼
workshop	研修班
worship	崇拜
wrap	包，裹
wreck	残骸
Yankee	〈美〉北方人
yield	产，出；屈服
yoga	瑜伽
zoology	动物学
